id_cliente,fecha_alta,canal_alta,tienda_alta,genero,edad,provincia,acepta_marketing,email
CLI00001,2023-04-18,Tienda,T05,F,65.0,Entre Rios,True,camilagonzalez@example.net
CLI00002,2022-05-18,Tienda,T03,F,35.0,CABA,True,bustosdelfina@example.org
CLI00003,2023-09-26,Online,,M,42.0,CABA,True,martineznicolas@example.org
CLI00004,2025-04-22,Tienda,T14,F,47.0,Neuquen,True,duarteagustin@example.net
CLI00005,2025-10-15,Online,,F,30.0,Buenos Aires,True,orodriguez@example.org
CLI00006,2024-03-23,Tienda,T25,F,42.0,Salta,True,emiliafernandez@example.org
CLI00007,2024-04-13,Online,,F,41.0,Salta,False,santinoortiz@example.org
CLI00008,2023-06-28,Sucursal,T04,M,,Tucuman,True,ortizana-paula@example.com
CLI00009,2024-09-20,Online,,M,56.0,Tucuman,True,dramos@example.net
CLI00010,2025-09-10,Online,,F,,Neuquen,True,julieta23@example.org
CLI00011,2024-04-18,Online,,M,33.0,Salta,True,uhernandez@example.com
CLI00012,2023-02-25,Tienda,T15,F,39.0,Salta,True,gomezciro@example.com
CLI00013,2022-08-10,Tienda,T13,M,49.0,CABA,True,qflores@example.org
CLI00014,2025-01-21,Online,,F,38.0,Tucuman,True,alma59@example.com
CLI00015,2024-04-26,Tienda,T05,F,38.0,Salta,False,frodriguez@example.com
CLI00016,2023-11-24,Tienda,T18,F,21.0,Santa Fe,True,rodriguezconstanza@example.net
CLI00017,2024-04-23,Online,,F,49.0,Entre Rios,True,ygarcia@example.net
CLI00018,2023-05-22,Online,,F,43.0,Cordoba,True,nsosa@example.org
CLI00019,2023-12-22,Tienda,T19,F,45.0,Tucuman,True,camilofernandez@example.org
CLI00020,2023-08-04,Tienda,T21,F,20.0,Tucuman,True,crodriguez@example.com
CLI00021,2024-03-13,Sucursal,T16,M,65.0,Buenos Aires,False,saraguzman@example.com
CLI00022,2024-10-28,Online,,M,44.0,Entre Rios,True,thiago-ezequiel63@example.org
CLI00023,2022-05-02,Online,,F,36.0,Buenos Aires,True,franciscomartinez@example.com
CLI00024,2025-04-28,Tienda,T25,F,70.0,Entre Rios,True,thiago-benjamingonzalez@example.com
CLI00025,2024-02-20,Sucursal,T28,F,41.0,CABA,False,benjamin-alejandro89@example.net
CLI00026,2024-09-14,Tienda,T01,,21.0,Salta,True,medinatiziana@example.net
CLI00027,2025-03-10,Tienda,T24,,36.0,Tucuman,True,zruiz@example.org
CLI00028,2023-12-05,Tienda,T16,M,18.0,Mendoza,True,erodriguez@example.org
CLI00029,2023-10-06,Tienda,T22,F,56.0,Cordoba,True,romeroisabella@example.org
CLI00030,2024-04-07,Tienda,T26,X,36.0,Salta,True,duartemora@example.org
CLI00031,2025-06-30,Tienda,T05,F,31.0,Salta,False,qfernandez@example.com
CLI00032,2024-05-29,Sucursal,T22,X,57.0,Entre Rios,True,fgomez
CLI00033,2025-12-20,Online,,M,18.0,CABA,False,tsuarez@example.org
CLI00034,2022-07-30,Tienda,T07,F,,Neuquen,True,thiago-nicolas72@example.net
CLI00035,2022-02-03,Online,,M,18.0,Entre Rios,True,felipe80@example.net
CLI00036,2023-03-12,Tienda,T17,M,32.0,Santa Fe,True,ledesmathiago-benjamin@example.com
CLI00037,2025-08-19,Tienda,T20,M,25.0,Tucuman,True,thiago-nahuel88@example.net
CLI00038,2023-04-27,Online,,M,62.0,Cordoba,True,moracaceres@example.org
CLI00039,2025-03-22,Online,,M,66.0,Salta,True,ovillalba@example.org
CLI00040,2024-01-26,Tienda,T09,F,37.0,Salta,True,sebastian04@example.com
CLI00041,2023-01-14,Online,,X,53.0,Cordoba,False,tomas55@example.org
CLI00042,2022-11-18,Tienda,T03,F,39.0,Neuquen,False,valentinromero@example.com
CLI00043,2024-06-30,Online,,M,49.0,Santa Fe,False,suarezjeremias@example.net
CLI00044,2022-05-04,Tienda,T16,M,31.0,CABA,False,bustossofia-belen@example.org
CLI00045,2023-11-29,Tienda,T03,M,-3.0,Salta,False,lorenzogodoy@example.org
CLI00046,2025-03-15,Tienda,T03,F,18.0,Cordoba,False,vmedina@example.org
CLI00047,2024-11-24,Tienda,T25,F,47.0,CABA,False,samuelgonzalez@example.net
CLI00048,2025-08-14,Tienda,T18,M,73.0,Tucuman,True,tomasluna@example.com
CLI00049,2024-08-17,Tienda,T03,F,,Neuquen,True,felipe82@example.org
CLI00050,2022-01-21,Online,,F,34.0,Entre Rios,True,pereyrapaula@example.com
CLI00051,2025-12-11,Tienda,T23,F,68.0,Santa Fe,True,ezequieldiaz@example.com
CLI00052,2022-11-07,Online,,M,45.0,Salta,True,paulinaromero@example.net
CLI00053,2023-09-04,Tienda,T09,F,12.0,Entre Rios,True,isabellavillalba@example.com
CLI00054,2024-08-25,Online,,F,45.0,CABA,False,grivero@example.org
CLI00055,2024-02-16,Tienda,T07,M,,Santa Fe,True,hernandezsantiago-benjamin@example.net
CLI00056,2022-01-06,Tienda,T03,M,37.0,Mendoza,True,joaquinherrera@example.net
