email,id_cliente,id_cliente_canonico,es_canonico
aavila@example.org,CLI01144,CLI01144,True
aavila@example.org,CLI05596,CLI01144,False
aavila@example.org,CLI00832,CLI01144,False
acunabautista@example.com,CLI04126,CLI04126,True
acunabautista@example.com,CLI06025,CLI04126,False
agonzalez@example.org,CLI00405,CLI00405,True
agonzalez@example.org,CLI00166,CLI00405,False
agustingutierrez@example.org,CLI03316,CLI03316,True
agustingutierrez@example.org,CLI03046,CLI03316,False
alma23@example.com,CLI01062,CLI01062,True
alma23@example.com,CLI03352,CLI01062,False
alma50@example.org,CLI01526,CLI01526,True
alma50@example.org,CLI01872,CLI01526,False
amparogarcia@example.net,CLI00109,CLI00109,True
amparogarcia@example.net,CLI00387,CLI00109,False
aruiz@example.org,CLI03618,CLI03618,True
aruiz@example.org,CLI02549,CLI03618,False
avilaisabella@example.com,CLI02973,CLI02973,True
avilaisabella@example.com,CLI06002,CLI02973,False
bautista00@example.org,CLI02570,CLI02570,True
bautista00@example.org,CLI03872,CLI02570,False
bautistabenitez@example.net,CLI00431,CLI00431,True
bautistabenitez@example.net,CLI04199,CLI00431,False
bautistasosa@example.com,CLI00879,CLI00879,True
bautistasosa@example.com,CLI06019,CLI00879,False
bautistasosa@example.net,CLI03941,CLI03941,True
bautistasosa@example.net,CLI06023,CLI03941,False
beniciocastillo@example.org,CLI05161,CLI05161,True
beniciocastillo@example.org,CLI02826,CLI05161,False
benitezagostina@example.com,CLI02436,CLI02436,True
benitezagostina@example.com,CLI06034,CLI02436,False
benitezrenata@example.org,CLI02508,CLI02508,True
benitezrenata@example.org,CLI02433,CLI02508,False
benjamin20@example.net,CLI03535,CLI03535,True
benjamin20@example.net,CLI02572,CLI03535,False
benjamin34@example.com,CLI01805,CLI01805,True
benjamin34@example.com,CLI06049,CLI01805,False
benjamin61@example.com,CLI01023,CLI01023,True
benjamin61@example.com,CLI03234,CLI01023,False
benjaminaguirre@example.com,CLI04893,CLI04893,True
benjaminaguirre@example.com,CLI02643,CLI04893,False
benjamingutierrez@example.org,CLI02871,CLI02871,True
benjamingutierrez@example.org,CLI04571,CLI02871,False
bfernandez@example.org,CLI05641,CLI05641,True
bfernandez@example.org,CLI04105,CLI05641,False
bgomez@example.com,CLI00569,CLI00569,True
bgomez@example.com,CLI03546,CLI00569,False
bgonzalez@example.net,CLI03442,CLI03442,True
bgonzalez@example.net,CLI02001,CLI03442,False
blopez@example.net,CLI00425,CLI00425,True
blopez@example.net,CLI05894,CLI00425,False
brivero@example.com,CLI04219,CLI04219,True
brivero@example.com,CLI04465,CLI04219,False
brodriguez@example.org,CLI02637,CLI02637,True
brodriguez@example.org,CLI03692,CLI02637,False
bsosa@example.net,CLI04254,CLI04254,True
bsosa@example.net,CLI02238,CLI04254,False
bsosa@example.net,CLI01523,CLI04254,False
castrosofia@example.org,CLI04066,CLI04066,True
castrosofia@example.org,CLI01706,CLI04066,False
catalina32@example.org,CLI02205,CLI02205,True
catalina32@example.org,CLI06016,CLI02205,False
catalinafernandez@example.net,CLI01875,CLI01875,True
catalinafernandez@example.net,CLI04204,CLI01875,False
catalinagonzalez@example.net,CLI03881,CLI03881,True
catalinagonzalez@example.net,CLI01632,CLI03881,False
catalinagonzalez@example.net,CLI00100,CLI03881,False
catalinamartinez@example.com,CLI02998,CLI02998,True
catalinamartinez@example.com,CLI05973,CLI02998,False
catalinamartinez@example.net,CLI05928,CLI05928,True
catalinamartinez@example.net,CLI05949,CLI05928,False
ccarrizo@example.net,CLI02746,CLI02746,True
ccarrizo@example.net,CLI05923,CLI02746,False
cgonzalez@example.com,CLI01894,CLI01894,True
cgonzalez@example.com,CLI03602,CLI01894,False
cgonzalez@example.com,CLI05605,CLI01894,False
cgonzalez@example.com,CLI00167,CLI01894,False
chavezgenaro@example.org,CLI03195,CLI03195,True
chavezgenaro@example.org,CLI02382,CLI03195,False
cmartinez@example.org,CLI03615,CLI03615,True
cmartinez@example.org,CLI00083,CLI03615,False
cperez@example.org,CLI03636,CLI03636,True
